1,Pride and Prejudice,"Austen, Jane",It is a truth universally acknowledged that when mo
2,To Kill a Mockingbird,Harper Lee,"A novel before its time, Harper Lee's Pulitzer-prize winner"
3,The Great Gatsby,F. Scott Fitzgerald,"Jay Gatsby, the enigmatic millionaire who throws decadent parties but doesn't "
4,One Hundred Years of Solitude,Gabriel Garcia Marquez,Gabriel García Márquez’s multi-generational spanning magnum opus was a landmark in Spanish literature.
5,In Cold Blood,Truman Capote,The ‘true crime’ TV show / podcast you’re obsessed with probably owes a debt to this masterpiece of reportage by Truman Capote. Chilling and brilliant.
